number,date,temp
1,06/09/23 08:30:00 AM,12.980
2,06/09/23 09:00:00 AM,12.497
3,06/09/23 09:30:00 AM,12.013
4,06/09/23 10:00:00 AM,11.916
5,06/09/23 10:30:00 AM,12.013
6,06/09/23 11:00:00 AM,12.013
7,06/09/23 11:30:00 AM,12.497
8,06/09/23 12:00:00 PM,12.497
9,06/09/23 12:30:00 PM,12.497
10,06/09/23 01:00:00 PM,12.401
11,06/09/23 01:30:00 PM,12.401
12,06/09/23 02:00:00 PM,12.304
13,06/09/23 02:30:00 PM,13.365
14,06/09/23 03:00:00 PM,13.846
15,06/09/23 03:30:00 PM,14.325
16,06/09/23 04:00:00 PM,15.091
17,06/09/23 04:30:00 PM,14.996
18,06/09/23 05:00:00 PM,14.900
19,06/09/23 05:30:00 PM,15.282
20,06/09/23 06:00:00 PM,15.569
21,06/09/23 06:30:00 PM,14.709
22,06/09/23 07:00:00 PM,14.613
23,06/09/23 07:30:00 PM,14.613
24,06/09/23 08:00:00 PM,14.421
25,06/09/23 08:30:00 PM,14.709
26,06/09/23 09:00:00 PM,14.709
27,06/09/23 09:30:00 PM,14.421
28,06/09/23 10:00:00 PM,14.804
29,06/09/23 10:30:00 PM,14.804
30,06/09/23 11:00:00 PM,13.365
31,06/09/23 11:30:00 PM,12.401
32,06/10/23 12:00:00 AM,12.401
33,06/10/23 12:30:00 AM,12.594
34,06/10/23 01:00:00 AM,12.787
35,06/10/23 01:30:00 AM,12.690
36,06/10/23 02:00:00 AM,12.497
37,06/10/23 02:30:00 AM,13.076
38,06/10/23 03:00:00 AM,14.038
39,06/10/23 03:30:00 AM,14.804
40,06/10/23 04:00:00 AM,15.378
41,06/10/23 04:30:00 AM,15.473
42,06/10/23 05:00:00 AM,14.996
43,06/10/23 05:30:00 AM,14.517
44,06/10/23 06:00:00 AM,14.038
45,06/10/23 06:30:00 AM,14.134
46,06/10/23 07:00:00 AM,14.134
47,06/10/23 07:30:00 AM,14.134
48,06/10/23 08:00:00 AM,14.134
49,06/10/23 08:30:00 AM,14.613
50,06/10/23 09:00:00 AM,14.517
51,06/10/23 09:30:00 AM,14.421
52,06/10/23 10:00:00 AM,14.038
53,06/10/23 10:30:00 AM,13.269
54,06/10/23 11:00:00 AM,12.594
55,06/10/23 11:30:00 AM,11.819
56,06/10/23 12:00:00 PM,11.625
57,06/10/23 12:30:00 PM,11.819
58,06/10/23 01:00:00 PM,11.916
59,06/10/23 01:30:00 PM,12.304
60,06/10/23 02:00:00 PM,12.304
61,06/10/23 02:30:00 PM,12.110
62,06/10/23 03:00:00 PM,12.304
63,06/10/23 03:30:00 PM,12.207
64,06/10/23 04:00:00 PM,12.980
65,06/10/23 04:30:00 PM,12.980
66,06/10/23 05:00:00 PM,12.980
67,06/10/23 05:30:00 PM,14.230
68,06/10/23 06:00:00 PM,14.038
69,06/10/23 06:30:00 PM,14.325
70,06/10/23 07:00:00 PM,13.942
71,06/10/23 07:30:00 PM,13.461
72,06/10/23 08:00:00 PM,13.461
73,06/10/23 08:30:00 PM,13.269
74,06/10/23 09:00:00 PM,13.461
75,06/10/23 09:30:00 PM,13.365
76,06/10/23 10:00:00 PM,13.558
77,06/10/23 10:30:00 PM,13.269
78,06/10/23 11:00:00 PM,13.365
79,06/10/23 11:30:00 PM,12.690
80,06/11/23 12:00:00 AM,12.594
81,06/11/23 12:30:00 AM,12.690
82,06/11/23 01:00:00 AM,12.207
83,06/11/23 01:30:00 AM,12.207
84,06/11/23 02:00:00 AM,12.013
85,06/11/23 02:30:00 AM,11.722
86,06/11/23 03:00:00 AM,12.013
87,06/11/23 03:30:00 AM,12.013
88,06/11/23 04:00:00 AM,12.304
89,06/11/23 04:30:00 AM,12.690
90,06/11/23 05:00:00 AM,13.750
91,06/11/23 05:30:00 AM,14.325
92,06/11/23 06:00:00 AM,14.038
93,06/11/23 06:30:00 AM,14.421
94,06/11/23 07:00:00 AM,14.517
95,06/11/23 07:30:00 AM,14.804
96,06/11/23 08:00:00 AM,14.709
97,06/11/23 08:30:00 AM,14.613
98,06/11/23 09:00:00 AM,14.230
99,06/11/23 09:30:00 AM,13.654
100,06/11/23 10:00:00 AM,12.594
101,06/11/23 10:30:00 AM,12.401
102,06/11/23 11:00:00 AM,12.110
103,06/11/23 11:30:00 AM,12.110
104,06/11/23 12:00:00 PM,12.304
105,06/11/23 12:30:00 PM,12.497
106,06/11/23 01:00:00 PM,13.076
107,06/11/23 01:30:00 PM,14.038
108,06/11/23 02:00:00 PM,14.230
109,06/11/23 02:30:00 PM,14.613
110,06/11/23 03:00:00 PM,14.900
111,06/11/23 03:30:00 PM,14.230
112,06/11/23 04:00:00 PM,15.091
113,06/11/23 04:30:00 PM,14.996
114,06/11/23 05:00:00 PM,15.187
115,06/11/23 05:30:00 PM,15.282
116,06/11/23 06:00:00 PM,15.187
117,06/11/23 06:30:00 PM,15.378
118,06/11/23 07:00:00 PM,15.473
119,06/11/23 07:30:00 PM,15.664
120,06/11/23 08:00:00 PM,15.378
121,06/11/23 08:30:00 PM,15.855
122,06/11/23 09:00:00 PM,16.141
123,06/11/23 09:30:00 PM,16.332
124,06/11/23 10:00:00 PM,16.141
125,06/11/23 10:30:00 PM,15.282
126,06/11/23 11:00:00 PM,14.421
127,06/11/23 11:30:00 PM,15.091
128,06/12/23 12:00:00 AM,14.804
129,06/12/23 12:30:00 AM,14.900
130,06/12/23 01:00:00 AM,14.134
131,06/12/23 01:30:00 AM,12.883
132,06/12/23 02:00:00 AM,12.883
133,06/12/23 02:30:00 AM,13.076
134,06/12/23 03:00:00 AM,13.269
135,06/12/23 03:30:00 AM,13.365
136,06/12/23 04:00:00 AM,13.365
137,06/12/23 04:30:00 AM,13.365
138,06/12/23 05:00:00 AM,13.269
139,06/12/23 05:30:00 AM,13.942
140,06/12/23 06:00:00 AM,13.942
141,06/12/23 06:30:00 AM,14.421
142,06/12/23 07:00:00 AM,14.900
143,06/12/23 07:30:00 AM,15.378
144,06/12/23 08:00:00 AM,15.378
145,06/12/23 08:30:00 AM,15.282
146,06/12/23 09:00:00 AM,15.473
147,06/12/23 09:30:00 AM,15.855
148,06/12/23 10:00:00 AM,15.951
149,06/12/23 10:30:00 AM,16.427
150,06/12/23 11:00:00 AM,16.332
151,06/12/23 11:30:00 AM,16.332
152,06/12/23 12:00:00 PM,16.808
153,06/12/23 12:30:00 PM,16.523
154,06/12/23 01:00:00 PM,16.427
155,06/12/23 01:30:00 PM,16.332
156,06/12/23 02:00:00 PM,16.332
157,06/12/23 02:30:00 PM,15.951
158,06/12/23 03:00:00 PM,15.760
159,06/12/23 03:30:00 PM,15.664
160,06/12/23 04:00:00 PM,15.951
161,06/12/23 04:30:00 PM,15.760
162,06/12/23 05:00:00 PM,15.378
163,06/12/23 05:30:00 PM,15.378
164,06/12/23 06:00:00 PM,15.760
165,06/12/23 06:30:00 PM,14.996
166,06/12/23 07:00:00 PM,14.900
167,06/12/23 07:30:00 PM,15.282
168,06/12/23 08:00:00 PM,15.091
169,06/12/23 08:30:00 PM,14.996
170,06/12/23 09:00:00 PM,15.473
171,06/12/23 09:30:00 PM,15.664
172,06/12/23 10:00:00 PM,15.760
173,06/12/23 10:30:00 PM,15.760
174,06/12/23 11:00:00 PM,15.855
175,06/12/23 11:30:00 PM,15.760
176,06/13/23 12:00:00 AM,15.664
177,06/13/23 12:30:00 AM,15.282
178,06/13/23 01:00:00 AM,15.282
179,06/13/23 01:30:00 AM,14.804
180,06/13/23 02:00:00 AM,14.709
181,06/13/23 02:30:00 AM,14.804
182,06/13/23 03:00:00 AM,14.804
183,06/13/23 03:30:00 AM,14.804
