number,date,temp
1,05/24/23 12:30:00 PM,16.999
2,05/24/23 01:00:00 PM,17.189
3,05/24/23 01:30:00 PM,17.379
4,05/24/23 02:00:00 PM,17.570
5,05/24/23 02:30:00 PM,17.284
6,05/24/23 03:00:00 PM,17.284
7,05/24/23 03:30:00 PM,17.475
8,05/24/23 04:00:00 PM,17.475
9,05/24/23 04:30:00 PM,17.284
10,05/24/23 05:00:00 PM,17.094
11,05/24/23 05:30:00 PM,17.379
12,05/24/23 06:00:00 PM,17.570
13,05/24/23 06:30:00 PM,17.665
14,05/24/23 07:00:00 PM,17.760
15,05/24/23 07:30:00 PM,17.760
16,05/24/23 08:00:00 PM,17.760
17,05/24/23 08:30:00 PM,17.760
18,05/24/23 09:00:00 PM,17.760
19,05/24/23 09:30:00 PM,17.475
20,05/24/23 10:00:00 PM,16.903
21,05/24/23 10:30:00 PM,16.618
22,05/24/23 11:00:00 PM,16.523
23,05/24/23 11:30:00 PM,16.332
24,05/25/23 12:00:00 AM,16.046
25,05/25/23 12:30:00 AM,15.855
26,05/25/23 01:00:00 AM,15.760
27,05/25/23 01:30:00 AM,15.855
28,05/25/23 02:00:00 AM,16.618
29,05/25/23 02:30:00 AM,16.618
30,05/25/23 03:00:00 AM,16.903
31,05/25/23 03:30:00 AM,16.999
32,05/25/23 04:00:00 AM,16.808
33,05/25/23 04:30:00 AM,16.713
34,05/25/23 05:00:00 AM,16.713
35,05/25/23 05:30:00 AM,16.903
36,05/25/23 06:00:00 AM,16.713
37,05/25/23 06:30:00 AM,17.094
38,05/25/23 07:00:00 AM,16.999
39,05/25/23 07:30:00 AM,16.808
40,05/25/23 08:00:00 AM,16.903
41,05/25/23 08:30:00 AM,16.808
42,05/25/23 09:00:00 AM,16.713
43,05/25/23 09:30:00 AM,16.713
44,05/25/23 10:00:00 AM,16.808
45,05/25/23 10:30:00 AM,16.808
46,05/25/23 11:00:00 AM,16.903
47,05/25/23 11:30:00 AM,16.808
48,05/25/23 12:00:00 PM,16.713
49,05/25/23 12:30:00 PM,16.903
50,05/25/23 01:00:00 PM,16.713
51,05/25/23 01:30:00 PM,16.618
52,05/25/23 02:00:00 PM,16.808
53,05/25/23 02:30:00 PM,16.808
54,05/25/23 03:00:00 PM,16.903
55,05/25/23 03:30:00 PM,17.189
56,05/25/23 04:00:00 PM,17.284
57,05/25/23 04:30:00 PM,17.189
58,05/25/23 05:00:00 PM,17.094
59,05/25/23 05:30:00 PM,17.189
60,05/25/23 06:00:00 PM,17.284
61,05/25/23 06:30:00 PM,17.284
62,05/25/23 07:00:00 PM,17.475
63,05/25/23 07:30:00 PM,17.379
64,05/25/23 08:00:00 PM,17.284
65,05/25/23 08:30:00 PM,17.284
66,05/25/23 09:00:00 PM,17.189
67,05/25/23 09:30:00 PM,17.189
68,05/25/23 10:00:00 PM,16.903
69,05/25/23 10:30:00 PM,16.713
70,05/25/23 11:00:00 PM,16.141
71,05/25/23 11:30:00 PM,15.951
72,05/26/23 12:00:00 AM,15.760
73,05/26/23 12:30:00 AM,15.664
74,05/26/23 01:00:00 AM,15.664
75,05/26/23 01:30:00 AM,15.664
76,05/26/23 02:00:00 AM,16.046
77,05/26/23 02:30:00 AM,16.237
78,05/26/23 03:00:00 AM,16.427
79,05/26/23 03:30:00 AM,16.427
80,05/26/23 04:00:00 AM,16.427
81,05/26/23 04:30:00 AM,16.427
82,05/26/23 05:00:00 AM,16.523
83,05/26/23 05:30:00 AM,16.618
84,05/26/23 06:00:00 AM,16.618
85,05/26/23 06:30:00 AM,16.713
86,05/26/23 07:00:00 AM,16.713
87,05/26/23 07:30:00 AM,16.618
88,05/26/23 08:00:00 AM,16.903
89,05/26/23 08:30:00 AM,16.999
90,05/26/23 09:00:00 AM,17.094
91,05/26/23 09:30:00 AM,16.999
92,05/26/23 10:00:00 AM,16.999
93,05/26/23 10:30:00 AM,16.999
94,05/26/23 11:00:00 AM,16.999
95,05/26/23 11:30:00 AM,16.999
96,05/26/23 12:00:00 PM,16.999
97,05/26/23 12:30:00 PM,17.094
98,05/26/23 01:00:00 PM,17.094
99,05/26/23 01:30:00 PM,16.999
100,05/26/23 02:00:00 PM,17.094
101,05/26/23 02:30:00 PM,17.094
102,05/26/23 03:00:00 PM,16.999
103,05/26/23 03:30:00 PM,16.713
104,05/26/23 04:00:00 PM,16.808
105,05/26/23 04:30:00 PM,16.999
106,05/26/23 05:00:00 PM,17.189
107,05/26/23 05:30:00 PM,17.379
108,05/26/23 06:00:00 PM,17.760
109,05/26/23 06:30:00 PM,17.475
110,05/26/23 07:00:00 PM,17.475
111,05/26/23 07:30:00 PM,16.523
112,05/26/23 08:00:00 PM,16.618
113,05/26/23 08:30:00 PM,17.094
114,05/26/23 09:00:00 PM,17.475
115,05/26/23 09:30:00 PM,17.950
116,05/26/23 10:00:00 PM,17.855
117,05/26/23 10:30:00 PM,17.379
118,05/26/23 11:00:00 PM,17.379
119,05/26/23 11:30:00 PM,17.475
120,05/27/23 12:00:00 AM,17.284
121,05/27/23 12:30:00 AM,17.284
122,05/27/23 01:00:00 AM,17.284
123,05/27/23 01:30:00 AM,17.094
124,05/27/23 02:00:00 AM,17.094
125,05/27/23 02:30:00 AM,16.808
126,05/27/23 03:00:00 AM,16.999
127,05/27/23 03:30:00 AM,15.855
128,05/27/23 04:00:00 AM,15.664
129,05/27/23 04:30:00 AM,16.618
130,05/27/23 05:00:00 AM,16.046
131,05/27/23 05:30:00 AM,16.618
132,05/27/23 06:00:00 AM,16.713
133,05/27/23 06:30:00 AM,16.999
134,05/27/23 07:00:00 AM,17.189
135,05/27/23 07:30:00 AM,17.284
136,05/27/23 08:00:00 AM,17.570
137,05/27/23 08:30:00 AM,17.570
138,05/27/23 09:00:00 AM,17.665
139,05/27/23 09:30:00 AM,17.665
140,05/27/23 10:00:00 AM,17.665
141,05/27/23 10:30:00 AM,17.760
142,05/27/23 11:00:00 AM,17.475
143,05/27/23 11:30:00 AM,17.284
144,05/27/23 12:00:00 PM,17.475
145,05/27/23 12:30:00 PM,17.665
146,05/27/23 01:00:00 PM,17.570
147,05/27/23 01:30:00 PM,17.379
148,05/27/23 02:00:00 PM,17.475
149,05/27/23 02:30:00 PM,17.475
150,05/27/23 03:00:00 PM,17.475
151,05/27/23 03:30:00 PM,17.570
152,05/27/23 04:00:00 PM,16.999
153,05/27/23 04:30:00 PM,16.237
154,05/27/23 05:00:00 PM,16.618
155,05/27/23 05:30:00 PM,17.094
156,05/27/23 06:00:00 PM,16.713
157,05/27/23 06:30:00 PM,16.999
158,05/27/23 07:00:00 PM,17.094
159,05/27/23 07:30:00 PM,17.094
160,05/27/23 08:00:00 PM,17.284
161,05/27/23 08:30:00 PM,17.475
162,05/27/23 09:00:00 PM,16.999
163,05/27/23 09:30:00 PM,16.903
164,05/27/23 10:00:00 PM,17.189
165,05/27/23 10:30:00 PM,16.903
166,05/27/23 11:00:00 PM,16.808
167,05/27/23 11:30:00 PM,16.713
168,05/28/23 12:00:00 AM,16.427
169,05/28/23 12:30:00 AM,15.282
170,05/28/23 01:00:00 AM,14.134
171,05/28/23 01:30:00 AM,14.517
172,05/28/23 02:00:00 AM,14.804
173,05/28/23 02:30:00 AM,14.996
174,05/28/23 03:00:00 AM,14.996
175,05/28/23 03:30:00 AM,14.900
176,05/28/23 04:00:00 AM,14.900
177,05/28/23 04:30:00 AM,15.664
178,05/28/23 05:00:00 AM,15.855
179,05/28/23 05:30:00 AM,15.282
180,05/28/23 06:00:00 AM,16.618
181,05/28/23 06:30:00 AM,16.808
182,05/28/23 07:00:00 AM,16.999
183,05/28/23 07:30:00 AM,17.189
184,05/28/23 08:00:00 AM,17.189
185,05/28/23 08:30:00 AM,17.094
186,05/28/23 09:00:00 AM,16.523
187,05/28/23 09:30:00 AM,15.855
188,05/28/23 10:00:00 AM,16.427
189,05/28/23 10:30:00 AM,16.523
190,05/28/23 11:00:00 AM,15.664
191,05/28/23 11:30:00 AM,15.569
192,05/28/23 12:00:00 PM,15.473
193,05/28/23 12:30:00 PM,15.569
194,05/28/23 01:00:00 PM,15.760
195,05/28/23 01:30:00 PM,16.141
196,05/28/23 02:00:00 PM,15.760
197,05/28/23 02:30:00 PM,16.523
198,05/28/23 03:00:00 PM,16.332
199,05/28/23 03:30:00 PM,16.523
200,05/28/23 04:00:00 PM,15.855
201,05/28/23 04:30:00 PM,15.282
202,05/28/23 05:00:00 PM,14.996
203,05/28/23 05:30:00 PM,15.091
204,05/28/23 06:00:00 PM,16.332
205,05/28/23 06:30:00 PM,16.046
206,05/28/23 07:00:00 PM,16.427
207,05/28/23 07:30:00 PM,16.999
208,05/28/23 08:00:00 PM,14.996
209,05/28/23 08:30:00 PM,15.187
210,05/28/23 09:00:00 PM,15.569
211,05/28/23 09:30:00 PM,16.141
212,05/28/23 10:00:00 PM,16.903
213,05/28/23 10:30:00 PM,16.141
214,05/28/23 11:00:00 PM,16.618
215,05/28/23 11:30:00 PM,16.713
216,05/29/23 12:00:00 AM,16.999
217,05/29/23 12:30:00 AM,16.903
218,05/29/23 01:00:00 AM,16.332
219,05/29/23 01:30:00 AM,16.046
220,05/29/23 02:00:00 AM,14.804
221,05/29/23 02:30:00 AM,14.900
222,05/29/23 03:00:00 AM,14.900
223,05/29/23 03:30:00 AM,14.804
224,05/29/23 04:00:00 AM,14.709
225,05/29/23 04:30:00 AM,14.804
226,05/29/23 05:00:00 AM,15.091
227,05/29/23 05:30:00 AM,15.187
228,05/29/23 06:00:00 AM,15.473
229,05/29/23 06:30:00 AM,15.760
230,05/29/23 07:00:00 AM,16.046
231,05/29/23 07:30:00 AM,16.237
232,05/29/23 08:00:00 AM,16.618
233,05/29/23 08:30:00 AM,16.618
234,05/29/23 09:00:00 AM,16.427
235,05/29/23 09:30:00 AM,16.523
236,05/29/23 10:00:00 AM,15.473
237,05/29/23 10:30:00 AM,15.473
238,05/29/23 11:00:00 AM,15.664
239,05/29/23 11:30:00 AM,15.760
240,05/29/23 12:00:00 PM,15.855
241,05/29/23 12:30:00 PM,15.091
242,05/29/23 01:00:00 PM,14.900
243,05/29/23 01:30:00 PM,14.804
244,05/29/23 02:00:00 PM,14.900
245,05/29/23 02:30:00 PM,15.569
246,05/29/23 03:00:00 PM,16.427
247,05/29/23 03:30:00 PM,16.713
248,05/29/23 04:00:00 PM,16.999
249,05/29/23 04:30:00 PM,16.999
250,05/29/23 05:00:00 PM,17.189
251,05/29/23 05:30:00 PM,17.284
252,05/29/23 06:00:00 PM,17.189
253,05/29/23 06:30:00 PM,17.094
254,05/29/23 07:00:00 PM,17.094
255,05/29/23 07:30:00 PM,17.094
256,05/29/23 08:00:00 PM,17.094
257,05/29/23 08:30:00 PM,17.189
258,05/29/23 09:00:00 PM,17.094
259,05/29/23 09:30:00 PM,17.379
260,05/29/23 10:00:00 PM,16.332
261,05/29/23 10:30:00 PM,16.332
262,05/29/23 11:00:00 PM,15.091
263,05/29/23 11:30:00 PM,14.804
264,05/30/23 12:00:00 AM,14.613
265,05/30/23 12:30:00 AM,14.804
266,05/30/23 01:00:00 AM,15.855
267,05/30/23 01:30:00 AM,16.332
268,05/30/23 02:00:00 AM,16.713
269,05/30/23 02:30:00 AM,16.903
270,05/30/23 03:00:00 AM,17.094
271,05/30/23 03:30:00 AM,16.713
272,05/30/23 04:00:00 AM,16.427
273,05/30/23 04:30:00 AM,16.427
274,05/30/23 05:00:00 AM,16.332
275,05/30/23 05:30:00 AM,16.618
276,05/30/23 06:00:00 AM,16.618
